SOCIETY_NAME,location,BEDROOM_NUM,BALCONY_NUM,AREA,AGE,FURNISH,amenity_luxury,FLOOR_NUM,PRICE
335.0,283.0,3.0,1.0,1009,2.0,3.0,2.0,1.0,0.78
622.0,283.0,3.0,1.0,1475,2.0,3.0,2.0,1.0,0.75
333.0,283.0,3.0,1.0,1475,2.0,3.0,2.0,1.0,0.68
153.0,132.0,3.0,1.0,1271,2.0,1.0,1.0,2.0,0.5
291.0,90.0,2.0,1.0,880,0.0,2.0,2.0,2.0,0.55
206.0,334.0,4.0,3.0,2239,2.0,0.0,1.0,2.0,1.02
445.0,141.0,3.0,1.0,1285,0.0,1.0,2.0,2.0,0.55
835.0,92.0,2.0,1.0,732,2.0,3.0,2.0,1.0,0.64
780.0,278.0,3.0,1.0,1450,0.0,1.0,1.0,2.0,1.1
137.0,63.0,2.0,1.0,910,1.0,0.0,2.0,1.0,0.4
1485.0,141.0,2.0,1.0,1305,2.0,3.0,2.0,1.0,1.41
1540.0,232.0,4.0,2.0,1528,2.0,3.0,2.0,1.0,0.82
1540.0,232.0,2.0,1.0,897,2.0,3.0,2.0,1.0,0.48
1140.0,283.0,4.0,2.0,1508,2.0,3.0,2.0,1.0,2.29
835.0,92.0,2.0,1.0,732,2.0,3.0,2.0,1.0,0.64
190.0,227.0,2.0,1.0,700,0.0,2.0,1.0,2.0,0.25
597.0,63.0,3.0,1.0,1005,3.0,0.0,2.0,1.0,0.78
551.0,209.0,3.0,1.0,1150,1.0,2.0,1.0,2.0,0.35
1784.0,71.0,2.0,0.0,600,0.0,0.0,2.0,1.0,0.19
1275.0,240.0,2.0,1.0,854,3.0,1.0,1.0,1.0,0.25
1044.0,163.0,3.0,1.0,1300,1.0,1.0,1.0,2.0,0.63
1557.0,149.0,4.0,2.0,1539,2.0,3.0,2.0,1.0,0.69
1557.0,149.0,3.0,1.0,929,2.0,3.0,2.0,1.0,0.46
1557.0,149.0,2.0,1.0,824,2.0,3.0,2.0,1.0,0.4
1839.0,24.0,2.0,1.0,765,0.0,2.0,2.0,2.0,0.28
969.0,88.0,2.0,0.0,600,0.0,0.0,1.0,1.0,0.18
838.0,427.0,3.0,1.0,1479,2.0,3.0,2.0,1.0,1.82
838.0,427.0,2.0,1.0,680,2.0,3.0,2.0,1.0,0.87
697.0,424.0,3.0,2.0,2550,1.0,3.0,1.0,1.0,5.2
552.0,437.0,3.0,2.0,1450,0.0,2.0,2.0,2.0,0.9
980.0,92.0,3.0,1.0,1350,2.0,0.0,2.0,0.0,1.0
745.0,49.0,2.0,1.0,800,1.0,0.0,1.0,2.0,0.38
542.0,224.0,2.0,1.0,1133,0.0,0.0,2.0,1.0,0.85
1675.0,141.0,5.0,1.0,5069,2.0,0.0,1.0,0.0,6.75
1480.0,92.0,3.0,1.0,1155,2.0,3.0,2.0,0.0,0.82
758.0,54.0,2.0,1.0,721,3.0,0.0,1.0,2.0,0.2
1086.0,334.0,3.0,1.0,976,2.0,3.0,2.0,1.0,0.3
434.0,237.0,2.0,1.0,771,2.0,3.0,2.0,1.0,0.24
190.0,227.0,2.0,1.0,765,3.0,2.0,0.0,1.0,0.38
1193.0,209.0,3.0,1.0,1435,2.0,3.0,2.0,1.0,0.72
1193.0,209.0,2.0,1.0,1210,2.0,3.0,2.0,1.0,0.57
836.0,141.0,3.0,1.0,780,2.0,3.0,2.0,1.0,0.52
836.0,141.0,2.0,1.0,677,2.0,3.0,2.0,1.0,0.45
890.0,340.0,3.0,1.0,1166,2.0,3.0,2.0,1.0,0.58
890.0,340.0,2.0,1.0,848,2.0,3.0,2.0,1.0,0.37
58.0,269.0,3.0,1.0,1104,2.0,3.0,2.0,1.0,0.54
58.0,269.0,2.0,1.0,673,2.0,3.0,2.0,1.0,0.31
1198.0,209.0,3.0,1.0,1360,2.0,3.0,2.0,1.0,0.7
1198.0,209.0,2.0,1.0,1010,2.0,3.0,2.0,1.0,0.52
1192.0,269.0,3.0,1.0,1045,2.0,3.0,2.0,1.0,0.37
1192.0,269.0,2.0,1.0,860,2.0,3.0,2.0,1.0,0.32
1195.0,269.0,3.0,1.0,1094,2.0,3.0,2.0,1.0,0.43
1195.0,269.0,2.0,1.0,900,2.0,3.0,2.0,1.0,0.35
587.0,362.0,3.0,0.0,1202,0.0,2.0,2.0,1.0,0.59
1261.0,57.0,2.0,1.0,660,3.0,0.0,2.0,1.0,0.32
304.0,427.0,4.0,2.0,1477,2.0,3.0,2.0,1.0,1.43
683.0,197.0,2.0,1.0,1050,0.0,1.0,0.0,1.0,0.63
565.0,88.0,3.0,1.0,910,0.0,0.0,1.0,1.0,0.41
