PROP_ID,PROPERTY_TYPE,SOCIETY_NAME,location,BEDROOM_NUM,BALCONY_NUM,AREA,Price_per_sqft,PRICE,AGE,FURNISH,amenity_luxury,FLOOR_NUM,TOTAL_FLOOR
S70397248,flat,Kshitij,Dum Dum,3.0,1.0,1230,7235.0,0.89,Old Property,Luxury furnished,353.0,5,11.0
O70019740,flat,Diya towers,Ganguly Bagan,2.0,1.0,1115,5829.0,0.65,Old Property,Fully furnished,366.0,3,4.0
N71005824,flat,Gita construction,Kalyani,2.0,1.0,800,3000.0,0.24,Old Property,Fully furnished,249.0,3,5.0
V64970510,flat,On request,Kasba,3.0,1.0,850,3333.0,0.3,Moderately Old,Luxury furnished,246.0,1,5.0
O70038052,flat,Karunamaya apartment,Dum Dum,3.0,1.0,1125,6241.0,0.44,Moderately Old,Fully furnished,382.0,4,5.0
N70784172,flat,Elita garden vista phase 2,New Town,3.0,1.0,1648,7281.0,1.2,Old Property,Unfurnished,253.0,14,33.0
D70683258,flat,Ps elixir,Park Circus,3.0,1.0,1800,13611.0,2.45,Relatively New Property,Unfurnished,46.0,14,18.0
Q68841934,flat,Dtc southern heights,Joka,3.0,1.0,1130,6371.0,0.63,Relatively New Property,Fully furnished,581.0,8,12.0
D63173644,flat,4/32 sethbagan road,Dum Dum Metro,2.0,1.0,750,3066.0,0.23,New Property,Luxury furnished,127.0,2,4.0
S70990474,flat,Srijani apart,Nayabad,2.0,1.0,800,3250.0,0.26,Relatively New Property,Fully furnished,472.0,0,2.0
X70832116,flat,Ashirbad alay,Nayabad,3.0,1.0,951,4206.0,0.4,Relatively New Property,Fully furnished,487.0,1,4.0
T70830100,flat,On request,Nayabad,2.0,0.0,780,3974.0,0.31,New Property,Luxury furnished,297.0,1,3.0
R70684514,flat,Metro ballygunj,Gariahat,3.0,1.0,1500,8500.0,1.27,Old Property,Fully furnished,526.0,3,4.0
G70646248,flat,Unicorn,Mahamayatala,2.0,1.0,865,5500.0,0.48,Old Property,Fully furnished,724.0,4,7.0
K70630406,flat,G. s greenfeild,Naktala,3.0,1.0,1143,6800.0,0.78,Old Property,Fully furnished,690.0,2,4.0
